Customer Name,CSP Size,Region,Channel,Product,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022
H,S1,US & CA,Channel,WorkPass,0,0,0,0,0,0,8905.95,11853.81,15777.42,20999.76,30745.74,40922.61,54467.97,65906.25,87721.23
H,S1,US & CA,Channel,Haystack,0,0,0,0,0,0,8015.37,10668.45,14199.69,18899.79,27671.19,36830.34,49021.17,59315.64,78949.11
J,S2,US & CA,Direct,Haystack,0,0,0,0,0,0,7213.83,9601.59,12779.73,17009.82,24904.05,33147.3,44119.05,53384.07,71054.19
K,S3,APAC,Direct,HomePass,0,0,0,0,0,0,6492.45,8641.44,11501.76,15308.82,22413.66,29832.57,39707.16,48045.66,63948.78
K,S3,APAC,Direct,Haystack,0,0,0,0,0,0,5843.19,7777.29,10351.56,13777.95,20172.3,26849.31,35736.45,43241.1,57553.89
L,M4,APAC,Direct,HomePass,0,0,0,0,0,0,5258.88,6999.57,9316.41,12400.14,18155.07,24164.4,32162.79,38916.99,51798.51
L,M4,APAC,Direct,Haystack,0,0,0,0,0,0,4732.98,6299.61,8384.79,11160.15,16339.56,21747.96,28946.52,35025.3,46618.65
M,L5,US & CA,Direct,Haystack,0,0,0,0,0,0,4259.7,5669.64,7546.29,10044.12,14705.61,19573.14,26051.88,31522.77,41956.8
M,L5,US & CA,Direct,Hardware,0,0,0,0,0,0,3833.73,5102.67,6791.67,9039.72,13235.04,17615.85,23446.68,28370.49,37761.12
M,S1,US & CA,Channel,HomePass,0,0,0,0,0,0,3450.36,4592.4,6112.5,8135.73,11911.53,15854.25,21102,25533.42,33984.99
M,S1,US & CA,Channel,WorkPass,0,0,0,0,0,0,3105.3,4133.16,5501.25,7322.16,10720.38,14268.84,18991.8,22980.09,30586.5
M,S1,US & CA,Channel,Haystack,0,0,0,0,0,0,2794.77,3719.85,4951.14,6589.95,9648.33,12841.95,17092.62,20682.09,27527.85
N,S2,US & CA,Direct,Haystack,0,0,0,0,0,0,2515.29,3347.88,4456.02,5930.94,8683.5,11557.74,15383.37,18613.86,24775.08
N,S3,APAC,Direct,HomePass,0,0,0,0,0,0,2263.77,3013.08,4010.4,5337.87,7815.15,10401.99,13845.03,16752.48,22297.56
N,S3,APAC,Direct,Haystack,0,0,0,0,0,0,2037.39,2711.76,3609.36,4804.08,7033.65,9361.77,12460.53,15077.25,20067.81
O,S1,LATAM,Channel,HomePass,0,0,0,0,0,0,9895.5,13170.9,17530.47,23333.07,34161.96,45469.56,60519.99,73229.16,97468.02
O,S1,LATAM,Channel,WorkPass,0,0,0,0,0,0,8905.95,11853.81,15777.42,20999.76,30745.74,40922.61,54467.97,65906.25,87721.23
O,S1,LATAM,Channel,Haystack,0,0,0,0,0,0,8015.37,10668.45,14199.69,18899.79,27671.19,36830.34,49021.17,59315.64,78949.11
P,S2,LATAM,Direct,Haystack,0,0,0,0,0,0,7213.83,9601.59,12779.73,17009.82,24904.05,33147.3,44119.05,53384.07,71054.19
Q,S3,APAC,Direct,HomePass,0,0,0,0,0,0,6492.45,8641.44,11501.76,15308.82,22413.66,29832.57,39707.16,48045.66,63948.78
Q,S3,APAC,Direct,Haystack,0,0,0,0,0,0,5843.19,7777.29,10351.56,13777.95,20172.3,26849.31,35736.45,43241.1,57553.89
R,M4,US & CA,Direct,HomePass,0,0,0,0,0,0,5258.88,6999.57,9316.41,12400.14,18155.07,24164.4,32162.79,38916.99,51798.51
R,M4,US & CA,Direct,Haystack,0,0,0,0,0,0,4732.98,6299.61,8384.79,11160.15,16339.56,21747.96,28946.52,35025.3,46618.65
S,L5,US & CA,Direct,Haystack,0,0,0,0,0,0,4259.7,5669.64,7546.29,10044.12,14705.61,19573.14,26051.88,31522.77,41956.8
S,L5,US & CA,Direct,Hardware,0,0,0,0,0,0,3833.73,5102.67,6791.67,9039.72,13235.04,17615.85,23446.68,28370.49,37761.12
T,S1,US & CA,Channel,HomePass,0,0,0,0,0,0,3450.36,4592.4,6112.5,8135.73,11911.53,15854.25,21102,25533.42,33984.99
T,S1,US & CA,Channel,WorkPass,0,0,0,0,0,0,3105.3,4133.16,5501.25,7322.16,10720.38,14268.84,18991.8,22980.09,30586.5
T,S1,US & CA,Channel,Haystack,0,0,0,0,0,0,2794.77,3719.85,4951.14,6589.95,9648.33,12841.95,17092.62,20682.09,27527.85
U,S2,US & CA,Direct,Haystack,0,0,0,0,0,0,2515.29,3347.88,4456.02,5930.94,8683.5,11557.74,15383.37,18613.86,24775.08
V,S3,LATAM,Direct,HomePass,0,0,0,0,0,0,2263.77,3013.08,4010.4,5337.87,7815.15,10401.99,13845.03,16752.48,22297.56
V,S3,LATAM,Direct,Haystack,0,0,0,0,0,0,2037.39,2711.76,3609.36,4804.08,7033.65,9361.77,12460.53,15077.25,20067.81
W,S1,EU & Africa,Channel,HomePass,0,0,0,0,0,0,9895.5,13170.9,17530.47,23333.07,34161.96,45469.56,60519.99,73229.16,97468.02
W,S1,EU & Africa,Channel,WorkPass,0,0,0,0,0,0,8905.95,11853.81,15777.42,20999.76,30745.74,40922.61,54467.97,65906.25,87721.23
W,S1,EU & Africa,Channel,Haystack,0,0,0,0,0,0,8015.37,10668.45,14199.69,18899.79,27671.19,36830.34,49021.17,59315.64,78949.11
X,S2,EU & Africa,Direct,Haystack,0,0,0,0,0,0,7213.83,9601.59,12779.73,17009.82,24904.05,33147.3,44119.05,53384.07,71054.19
Y,S3,EU & Africa,Direct,HomePass,0,0,0,0,0,0,6492.45,8641.44,11501.76,15308.82,22413.66,29832.57,39707.16,48045.66,63948.78
Y,S3,EU & Africa,Direct,Haystack,0,0,0,0,0,0,5843.19,7777.29,10351.56,13777.95,20172.3,26849.31,35736.45,43241.1,57553.89
Z,M4,EU & Africa,Direct,HomePass,0,0,0,0,0,0,5258.88,6999.57,9316.41,12400.14,18155.07,24164.4,32162.79,38916.99,51798.51
Z,M4,EU & Africa,Direct,Haystack,0,0,0,0,0,0,4732.98,6299.61,8384.79,11160.15,16339.56,21747.96,28946.52,35025.3,46618.65
AA,L5,EU & Africa,Direct,Haystack,0,0,0,0,0,0,4259.7,5669.64,7546.29,10044.12,14705.61,19573.14,26051.88,31522.77,41956.8
AA,L5,EU & Africa,Direct,Hardware,0,0,0,0,0,0,3833.73,5102.67,6791.67,9039.72,13235.04,17615.85,23446.68,28370.49,37761.12
AB,S1,EU & Africa,Channel,HomePass,0,0,0,0,0,0,3450.36,4592.4,6112.5,8135.73,11911.53,15854.25,21102,25533.42,33984.99
AB,S1,EU & Africa,Channel,WorkPass,0,0,0,0,0,0,3105.3,4133.16,5501.25,7322.16,10720.38,14268.84,18991.8,22980.09,30586.5
AB,S1,EU & Africa,Channel,Haystack,0,0,0,0,0,0,2794.77,3719.85,4951.14,6589.95,9648.33,12841.95,17092.62,20682.09,27527.85
AC,S2,EU & Africa,Direct,Haystack,0,0,0,0,0,0,2515.29,3347.88,4456.02,5930.94,8683.5,11557.74,15383.37,18613.86,24775.08
AD,S3,EU & Africa,Direct,HomePass,0,0,0,0,0,0,2263.77,3013.08,4010.4,5337.87,7815.15,10401.99,13845.03,16752.48,22297.56
AD,S3,EU & Africa,Direct,Haystack,0,0,0,0,0,0,2037.39,2711.76,3609.36,4804.08,7033.65,9361.77,12460.53,15077.25,20067.81
AE,S1,US & CA,Channel,HomePass,0,0,0,0,0,0,9895.5,13170.9,17530.47,23333.07,34161.96,45469.56,60519.99,73229.16,97468.02
AE,S1,US & CA,Channel,WorkPass,0,0,0,0,0,0,8905.95,11853.81,15777.42,20999.76,30745.74,40922.61,54467.97,65906.25,87721.23
AE,S1,US & CA,Channel,Haystack,0,0,0,0,0,0,8015.37,10668.45,14199.69,18899.79,27671.19,36830.34,49021.17,59315.64,78949.11
AF,S2,US & CA,Direct,Haystack,0,0,0,0,0,0,7213.83,9601.59,12779.73,17009.82,24904.05,33147.3,44119.05,53384.07,71054.19
AG,S3,US & CA,Direct,HomePass,0,0,0,0,0,0,6492.45,8641.44,11501.76,15308.82,22413.66,29832.57,39707.16,48045.66,63948.78
AG,S3,US & CA,Direct,Haystack,0,0,0,0,0,0,5843.19,7777.29,10351.56,13777.95,20172.3,26849.31,35736.45,43241.1,57553.89
AH,M4,US & CA,Direct,HomePass,0,0,0,0,0,0,5258.88,6999.57,9316.41,12400.14,18155.07,24164.4,32162.79,38916.99,51798.51
AH,M4,US & CA,Direct,Haystack,0,0,0,0,0,0,4732.98,6299.61,8384.79,11160.15,16339.56,21747.96,28946.52,35025.3,46618.65
AI,L5,US & CA,Direct,Haystack,0,0,0,0,0,0,4259.7,5669.64,7546.29,10044.12,14705.61,19573.14,26051.88,31522.77,41956.8
AI,L5,US & CA,Direct,Hardware,0,0,0,0,0,0,3833.73,5102.67,6791.67,9039.72,13235.04,17615.85,23446.68,28370.49,37761.12
AJ,S1,US & CA,Channel,HomePass,0,0,0,0,0,0,3450.36,4592.4,6112.5,8135.73,11911.53,15854.25,21102,25533.42,33984.99
AJ,S1,US & CA,Channel,WorkPass,0,0,0,0,0,0,3105.3,4133.16,5501.25,7322.16,10720.38,14268.84,18991.8,22980.09,30586.5
AJ,S1,US & CA,Channel,Haystack,0,0,0,0,0,0,2794.77,3719.85,4951.14,6589.95,9648.33,12841.95,17092.62,20682.09,27527.85
AL,S2,US & CA,Direct,Haystack,0,0,0,0,0,0,2515.29,3347.88,4456.02,5930.94,8683.5,11557.74,15383.37,18613.86,24775.08
AK,S3,LATAM,Direct,HomePass,0,0,0,0,0,0,2263.77,3013.08,4010.4,5337.87,7815.15,10401.99,13845.03,16752.48,22297.56
AK,S3,LATAM,Direct,Haystack,0,0,0,0,0,0,2037.39,2711.76,3609.36,4804.08,7033.65,9361.77,12460.53,15077.25,20067.81
AM,S1,US & CA,Channel,HomePass,0,0,0,0,0,0,9895.5,13170.9,17530.47,23333.07,34161.96,45469.56,60519.99,73229.16,97468.02
AM,S1,US & CA,Channel,WorkPass,0,0,0,0,0,0,8905.95,11853.81,15777.42,20999.76,30745.74,40922.61,54467.97,65906.25,87721.23
AM,S1,US & CA,Channel,Haystack,0,0,0,0,0,0,8015.37,10668.45,14199.69,18899.79,27671.19,36830.34,49021.17,59315.64,78949.11
AN,S2,US & CA,Channel,Haystack,0,0,0,0,0,0,7213.83,9601.59,12779.73,17009.82,24904.05,33147.3,44119.05,53384.07,71054.19
AP,S3,US & CA,Channel,HomePass,0,0,0,0,0,0,6492.45,8641.44,11501.76,15308.82,22413.66,29832.57,39707.16,48045.66,63948.78
AQ,S3,US & CA,Channel,Haystack,0,0,0,0,0,0,5843.19,7777.29,10351.56,13777.95,20172.3,26849.31,35736.45,43241.1,57553.89
AR,M4,US & CA,Channel,HomePass,0,0,0,0,0,0,5258.88,6999.57,9316.41,12400.14,18155.07,24164.4,32162.79,38916.99,51798.51
AR,M4,US & CA,Channel,Haystack,0,0,0,0,0,0,4732.98,6299.61,8384.79,11160.15,16339.56,21747.96,28946.52,35025.3,46618.65
AS,S1,US & CA,Channel,Haystack,0,0,0,0,0,0,4259.7,5669.64,7546.29,10044.12,14705.61,19573.14,26051.88,31522.77,41956.8
AS,S1,US & CA,Channel,Hardware,0,0,0,0,0,0,3833.73,5102.67,6791.67,9039.72,13235.04,17615.85,23446.68,28370.49,37761.12
AS,S1,US & CA,Channel,HomePass,0,0,0,0,0,0,3450.36,4592.4,6112.5,8135.73,11911.53,15854.25,21102,25533.42,33984.99
AY,S1,US & CA,Channel,WorkPass,0,0,0,0,0,0,3105.3,4133.16,5501.25,7322.16,10720.38,14268.84,18991.8,22980.09,30586.5
AY,S1,US & CA,Channel,Haystack,0,0,0,0,0,0,2794.77,3719.85,4951.14,6589.95,9648.33,12841.95,17092.62,20682.09,27527.85
AT,S2,US & CA,Channel,Haystack,0,0,0,0,0,0,2515.29,3347.88,4456.02,5930.94,8683.5,11557.74,15383.37,18613.86,24775.08
AT,S3,US & CA,Channel,HomePass,0,0,0,0,0,0,2263.77,3013.08,4010.4,5337.87,7815.15,10401.99,13845.03,16752.48,22297.56
AT,S3,US & CA,Channel,Haystack,0,0,0,0,0,0,2037.39,2711.76,3609.36,4804.08,7033.65,9361.77,12460.53,15077.25,20067.81
AU,S1,US & CA,Channel,HomePass,0,0,0,0,0,0,9895.5,13170.9,17530.47,23333.07,34161.96,45469.56,60519.99,73229.16,97468.02
AU,S1,US & CA,Channel,WorkPass,0,0,0,0,0,0,8905.95,11853.81,15777.42,20999.76,30745.74,40922.61,54467.97,65906.25,87721.23
AU,S1,US & CA,Channel,Haystack,0,0,0,0,0,0,8015.37,10668.45,14199.69,18899.79,27671.19,36830.34,49021.17,59315.64,78949.11
AV,S2,US & CA,Channel,Haystack,0,0,0,0,0,0,7213.83,9601.59,12779.73,17009.82,24904.05,33147.3,44119.05,53384.07,71054.19
AV,S3,US & CA,Channel,HomePass,0,0,0,0,0,0,6492.45,8641.44,11501.76,15308.82,22413.66,29832.57,39707.16,48045.66,63948.78
AV,S3,US & CA,Channel,Haystack,0,0,0,0,0,0,5843.19,7777.29,10351.56,13777.95,20172.3,26849.31,35736.45,43241.1,57553.89
AW,S2,US & CA,Channel,HomePass,0,0,0,0,0,0,5258.88,6999.57,9316.41,12400.14,18155.07,24164.4,32162.79,38916.99,51798.51
AW,S2,US & CA,Channel,Haystack,0,0,0,0,0,0,4732.98,6299.61,8384.79,11160.15,16339.56,21747.96,28946.52,35025.3,46618.65
AX,S1,US & CA,Channel,Haystack,0,0,0,0,0,0,4259.7,5669.64,7546.29,10044.12,14705.61,19573.14,26051.88,31522.77,41956.8
AX,S1,US & CA,Channel,Hardware,0,0,0,0,0,0,3833.73,5102.67,6791.67,9039.72,13235.04,17615.85,23446.68,28370.49,37761.12
AZ,S1,US & CA,Channel,HomePass,0,0,0,0,0,0,3450.36,4592.4,6112.5,8135.73,11911.53,15854.25,21102,25533.42,33984.99
AZ,S1,US & CA,Channel,WorkPass,0,0,0,0,0,0,3105.3,4133.16,5501.25,7322.16,10720.38,14268.84,18991.8,22980.09,30586.5
AZ,S1,US & CA,Channel,Haystack,0,0,0,0,0,0,2794.77,3719.85,4951.14,6589.95,9648.33,12841.95,17092.62,20682.09,27527.85
BA,S2,US & CA,Channel,Haystack,0,0,0,0,0,0,2515.29,3347.88,4456.02,5930.94,8683.5,11557.74,15383.37,18613.86,24775.08
BB,S3,US & CA,Channel,HomePass,0,0,0,0,0,0,2263.77,3013.08,4010.4,5337.87,7815.15,10401.99,13845.03,16752.48,22297.56
BB,S3,US & CA,Channel,Haystack,0,0,0,0,0,0,2037.39,2711.76,3609.36,4804.08,7033.65,9361.77,12460.53,15077.25,20067.81
A1,S1,US & CA,Channel,HomePass,0,0,0,0,0,0,9895.5,13170.9,17530.47,23333.07,34161.96,45469.56,60519.99,73229.16,97468.02
A1,S1,US & CA,Channel,WorkPass,0,0,0,0,0,0,8905.95,11853.81,15777.42,20999.76,30745.74,40922.61,54467.97,65906.25,87721.23
A1,S1,US & CA,Channel,Haystack,0,0,0,0,0,0,8015.37,10668.45,14199.69,18899.79,27671.19,36830.34,49021.17,59315.64,78949.11
B1,S2,US & CA,Direct,Haystack,0,0,0,0,0,0,7213.83,9601.59,12779.73,17009.82,24904.05,33147.3,44119.05,53384.07,71054.19
C1,S3,APAC,Direct,HomePass,0,0,0,0,0,0,6492.45,8641.44,11501.76,15308.82,22413.66,29832.57,39707.16,48045.66,63948.78
C1,S3,APAC,Direct,Haystack,0,0,0,0,0,0,5843.19,7777.29,10351.56,13777.95,20172.3,26849.31,35736.45,43241.1,57553.89
D1,M4,GCC,Direct,HomePass,0,0,0,0,0,0,5258.88,6999.57,9316.41,12400.14,18155.07,24164.4,32162.79,38916.99,51798.51
D1,M4,GCC,Direct,Haystack,0,0,0,0,0,0,4732.98,6299.61,8384.79,11160.15,16339.56,21747.96,28946.52,35025.3,46618.65
E1,L5,US & CA,Direct,Haystack,0,0,0,0,0,0,4259.7,5669.64,7546.29,10044.12,14705.61,19573.14,26051.88,31522.77,41956.8
E1,L5,US & CA,Direct,Hardware,0,0,0,0,0,0,3833.73,5102.67,6791.67,9039.72,13235.04,17615.85,23446.68,28370.49,37761.12
F1,S1,US & CA,Channel,HomePass,0,0,0,0,0,0,3450.36,4592.4,6112.5,8135.73,11911.53,15854.25,21102,25533.42,33984.99
F1,S1,US & CA,Channel,WorkPass,0,0,0,0,0,0,3105.3,4133.16,5501.25,7322.16,10720.38,14268.84,18991.8,22980.09,30586.5
F1,S1,US & CA,Channel,Haystack,0,0,0,0,0,0,2794.77,3719.85,4951.14,6589.95,9648.33,12841.95,17092.62,20682.09,27527.85
G1,S2,US & CA,Direct,Haystack,0,0,0,0,0,0,2515.29,3347.88,4456.02,5930.94,8683.5,11557.74,15383.37,18613.86,24775.08
G1,S3,APAC,Direct,HomePass,0,0,0,0,0,0,2263.77,3013.08,4010.4,5337.87,7815.15,10401.99,13845.03,16752.48,22297.56
G1,S3,APAC,Direct,Haystack,0,0,0,0,0,0,2037.39,2711.76,3609.36,4804.08,7033.65,9361.77,12460.53,15077.25,20067.81
H1,S1,US & CA,Channel,HomePass,0,0,0,0,0,0,9895.5,13170.9,17530.47,23333.07,34161.96,45469.56,60519.99,73229.16,97468.02
H1,S1,US & CA,Channel,WorkPass,0,0,0,0,0,0,8905.95,11853.81,15777.42,20999.76,30745.74,40922.61,54467.97,65906.25,87721.23
H1,S1,US & CA,Channel,Haystack,0,0,0,0,0,0,8015.37,10668.45,14199.69,18899.79,27671.19,36830.34,49021.17,59315.64,78949.11
J1,S2,US & CA,Direct,Haystack,0,0,0,0,0,0,7213.83,9601.59,12779.73,17009.82,24904.05,33147.3,44119.05,53384.07,71054.19
K1,S3,APAC,Direct,HomePass,0,0,0,0,0,0,6492.45,8641.44,11501.76,15308.82,22413.66,29832.57,39707.16,48045.66,63948.78
K1,S3,APAC,Direct,Haystack,0,0,0,0,0,0,5843.19,7777.29,10351.56,13777.95,20172.3,26849.31,35736.45,43241.1,57553.89
L1,M4,APAC,Direct,HomePass,0,0,0,0,0,0,5258.88,6999.57,9316.41,12400.14,18155.07,24164.4,32162.79,38916.99,51798.51
L1,M4,APAC,Direct,Haystack,0,0,0,0,0,0,4732.98,6299.61,8384.79,11160.15,16339.56,21747.96,28946.52,35025.3,46618.65
M1,L5,US & CA,Direct,Haystack,0,0,0,0,0,0,4259.7,5669.64,7546.29,10044.12,14705.61,19573.14,26051.88,31522.77,41956.8
M1,L5,US & CA,Direct,Hardware,0,0,0,0,0,0,3833.73,5102.67,6791.67,9039.72,13235.04,17615.85,23446.68,28370.49,37761.12
M1,S1,US & CA,Channel,HomePass,0,0,0,0,0,0,3450.36,4592.4,6112.5,8135.73,11911.53,15854.25,21102,25533.42,33984.99
M1,S1,US & CA,Channel,WorkPass,0,0,0,0,0,0,3105.3,4133.16,5501.25,7322.16,10720.38,14268.84,18991.8,22980.09,30586.5
M1,S1,US & CA,Channel,Haystack,0,0,0,0,0,0,2794.77,3719.85,4951.14,6589.95,9648.33,12841.95,17092.62,20682.09,27527.85
N1,S2,US & CA,Direct,Haystack,0,0,0,0,0,0,2515.29,3347.88,4456.02,5930.94,8683.5,11557.74,15383.37,18613.86,24775.08
N1,S3,APAC,Direct,HomePass,0,0,0,0,0,0,2263.77,3013.08,4010.4,5337.87,7815.15,10401.99,13845.03,16752.48,22297.56
N1,S3,APAC,Direct,Haystack,0,0,0,0,0,0,2037.39,2711.76,3609.36,4804.08,7033.65,9361.77,12460.53,15077.25,20067.81
O1,S1,US & CA,Channel,HomePass,0,0,0,0,0,0,9895.5,13170.9,17530.47,23333.07,34161.96,45469.56,60519.99,73229.16,97468.02
O1,S1,US & CA,Channel,WorkPass,0,0,0,0,0,0,8905.95,11853.81,15777.42,20999.76,30745.74,40922.61,54467.97,65906.25,87721.23
O1,S1,US & CA,Channel,Haystack,0,0,0,0,0,0,8015.37,10668.45,14199.69,18899.79,27671.19,36830.34,49021.17,59315.64,78949.11
P1,S2,US & CA,Direct,Haystack,0,0,0,0,0,0,7213.83,9601.59,12779.73,17009.82,24904.05,33147.3,44119.05,53384.07,71054.19
Q1,S3,APAC,Direct,HomePass,0,0,0,0,0,0,6492.45,8641.44,11501.76,15308.82,22413.66,29832.57,39707.16,48045.66,63948.78
Q1,S3,APAC,Direct,Haystack,0,0,0,0,0,0,5843.19,7777.29,10351.56,13777.95,20172.3,26849.31,35736.45,43241.1,57553.89
R1,M4,US & CA,Direct,HomePass,0,0,0,0,0,0,5258.88,6999.57,9316.41,12400.14,18155.07,24164.4,32162.79,38916.99,51798.51
R1,M4,US & CA,Direct,Haystack,0,0,0,0,0,0,4732.98,6299.61,8384.79,11160.15,16339.56,21747.96,28946.52,35025.3,46618.65
S1,L5,US & CA,Direct,Haystack,0,0,0,0,0,0,4259.7,5669.64,7546.29,10044.12,14705.61,19573.14,26051.88,31522.77,41956.8
S1,L5,US & CA,Direct,Hardware,0,0,0,0,0,0,3833.73,5102.67,6791.67,9039.72,13235.04,17615.85,23446.68,28370.49,37761.12
T1,S1,US & CA,Channel,HomePass,0,0,0,0,0,0,3450.36,4592.4,6112.5,8135.73,11911.53,15854.25,21102,25533.42,33984.99
T1,S1,US & CA,Channel,WorkPass,0,0,0,0,0,0,3105.3,4133.16,5501.25,7322.16,10720.38,14268.84,18991.8,22980.09,30586.5
T1,S1,US & CA,Channel,Haystack,0,0,0,0,0,0,2794.77,3719.85,4951.14,6589.95,9648.33,12841.95,17092.62,20682.09,27527.85
U1,S2,US & CA,Direct,Haystack,0,0,0,0,0,0,2515.29,3347.88,4456.02,5930.94,8683.5,11557.74,15383.37,18613.86,24775.08
V1,S3,APAC,Direct,HomePass,0,0,0,0,0,0,2263.77,3013.08,4010.4,5337.87,7815.15,10401.99,13845.03,16752.48,22297.56
V1,S3,APAC,Direct,Haystack,0,0,0,0,0,0,2037.39,2711.76,3609.36,4804.08,7033.65,9361.77,12460.53,15077.25,20067.81
W1,S1,EU & Africa,Channel,HomePass,0,0,0,0,0,0,9895.5,13170.9,17530.47,23333.07,34161.96,45469.56,60519.99,73229.16,97468.02
W1,S1,EU & Africa,Channel,WorkPass,0,0,0,0,0,0,8905.95,11853.81,15777.42,20999.76,30745.74,40922.61,54467.97,65906.25,87721.23
W1,S1,EU & Africa,Channel,Haystack,0,0,0,0,0,0,8015.37,10668.45,14199.69,18899.79,27671.19,36830.34,49021.17,59315.64,78949.11
X1,S2,EU & Africa,Direct,Haystack,0,0,0,0,0,0,7213.83,9601.59,12779.73,17009.82,24904.05,33147.3,44119.05,53384.07,71054.19
Y1,S3,EU & Africa,Direct,HomePass,0,0,0,0,0,0,6492.45,8641.44,11501.76,15308.82,22413.66,29832.57,39707.16,48045.66,63948.78
Y1,S3,EU & Africa,Direct,Haystack,0,0,0,0,0,0,5843.19,7777.29,10351.56,13777.95,20172.3,26849.31,35736.45,43241.1,57553.89
Z1,M4,EU & Africa,Direct,HomePass,0,0,0,0,0,0,5258.88,6999.57,9316.41,12400.14,18155.07,24164.4,32162.79,38916.99,51798.51
Z1,M4,EU & Africa,Direct,Haystack,0,0,0,0,0,0,4732.98,6299.61,8384.79,11160.15,16339.56,21747.96,28946.52,35025.3,46618.65
AA1,L5,EU & Africa,Direct,Haystack,0,0,0,0,0,0,4259.7,5669.64,7546.29,10044.12,14705.61,19573.14,26051.88,31522.77,41956.8
AA1,L5,EU & Africa,Direct,Hardware,0,0,0,0,0,0,3833.73,5102.67,6791.67,9039.72,13235.04,17615.85,23446.68,28370.49,37761.12
AB1,S1,EU & Africa,Channel,HomePass,0,0,0,0,0,0,3450.36,4592.4,6112.5,8135.73,11911.53,15854.25,21102,25533.42,33984.99
AB1,S1,EU & Africa,Channel,WorkPass,0,0,0,0,0,0,3105.3,4133.16,5501.25,7322.16,10720.38,14268.84,18991.8,22980.09,30586.5
AB1,S1,EU & Africa,Channel,Haystack,0,0,0,0,0,0,2794.77,3719.85,4951.14,6589.95,9648.33,12841.95,17092.62,20682.09,27527.85
AC1,S2,EU & Africa,Direct,Haystack,0,0,0,0,0,0,2515.29,3347.88,4456.02,5930.94,8683.5,11557.74,15383.37,18613.86,24775.08
